"Position","Promotion","Discount Offer","Restaurant Name","Rating","Cuisines","Cost for Two","Location","Distance","Restaurant URL","Image URL","Zomato Gold Image"
1,"Promoted","Flat 20% OFF","Korma Sutra - Restaurant & Cafe",4.6,"Indian, Asian, Turkish, Italian, Continental, BBQ","AED 180 for two","Al Barsha, Dubai","2.3 km","https://www.zomato.com/dubai/korma-sutra-restaurant-cafe-al-barsha/info","https://b.zmtcdn.com/data/pictures/6/21040866/ee90713984b9d0a6f0829d914ee72917_featured_v2.jpg?output-format=webp","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
2,"Promoted","Flat 20% OFF","Orientale",4.6,"Chinese, Sushi, Thai, Asian","AED 145 for two","Al Barsha, Dubai","2.1 km","https://www.zomato.com/dubai/orientale-al-barsha/info","https://b.zmtcdn.com/data/pictures/0/19728900/78b5e1d11cf13299ef3e04c05a141c74_featured_v2.jpg?output-format=webp","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
3,"Promoted","Flat 20% OFF","Socialicious",4.7,"Cafe, Asian, Thai, Coffee, Beverages","AED 125 for two","Jumeirah Village, Dubai","7 km","https://www.zomato.com/socialicious/info","https://b.zmtcdn.com/data/pictures/8/18598678/f9fee0a697801b266974d0ee6f96ea49_featured_v2.jpg?output-format=webp","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
4,"Promoted","Flat 10% OFF","Nine Squares Restaurant",4.6,"Hot Pot, Chinese, Asian","AED 150 for two","Umm Suqeim, Dubai","4.8 km","https://www.zomato.com/dubai/nine-squares-restaurant-umm-suqeim/info","https://b.zmtcdn.com/data/pictures/4/19483264/e2b4046f03efe2801804a47a8c87a501_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
5,"Promoted","Flat 10% OFF","Wafi Gourmet",3.5,"Lebanese, Arabian, Middle Eastern, Kebab","AED 295 for two","Sunset Mall, Jumeirah 3, Dubai","6.3 km","https://www.zomato.com/dubai/wafi-gourmet-jumeirah-3/info","https://b.zmtcdn.com/data/pictures/3/20107813/e07f9f6cb75d1e69aef667c40f5e052f_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
6,"Promoted","Flat 10% OFF","N89 Restaurant",4.4,"Indian, Chinese, International, Middle Eastern, Beverages","AED 100 for two","Cluster V, Jumeirah Lake Towers, Dubai","9.5 km","https://www.zomato.com/dubai/n89-restaurant-jumeirah-lake-towers/info","https://b.zmtcdn.com/data/pictures/0/20986350/3c186c94f8b09f01ce0e69e44926da5a_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
7,,,"Baraak by BVK",4.5,"Indian, Middle Eastern, North Indian, Grill, Kebab, South Indian, BBQ, Shawarma","AED 80 for two","Al Karama, Dubai","15.6 km","https://www.zomato.com/dubai/baraak-by-bvk-al-karama/info","https://b.zmtcdn.com/data/pictures/9/21120749/e5f1021cb60f1043122bf908214902b5_featured_v2.jpg",
8,"Promoted","Flat 10% OFF","Beresta",4.2,"Indian, Biryani, North Indian, Mughlai, Kebab","AED 100 for two","Business Bay, Dubai","7.9 km","https://www.zomato.com/dubai/beresta-1-business-bay/info","https://b.zmtcdn.com/data/pictures/7/20100567/214554b10afd5c7bdd0a49c4bcaf5f57_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
9,,"Flat 15% OFF","Delhi Highway",4.2,"North Indian, Indian, Desserts, Beverages","AED 140 for two","Al Karama, Dubai","15.3 km","https://www.zomato.com/dubai/delhi-highway-al-karama/info","https://b.zmtcdn.com/data/pictures/7/20615057/4c415a73c824a079c9859b357bde30ef_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
10,"Promoted","Flat 10% OFF","Iyer's Premium Veg Restaurant","New","South Indian, North Indian, Indo-Chinese","AED 50 for two","Cluster I, Jumeirah Lake Towers, Dubai","10.8 km","https://www.zomato.com/dubai/iyers-premium-veg-restaurant-jumeirah-lake-towers/info","https://b.zmtcdn.com/data/pictures/4/21485274/ad8b65a41b7eefe6d7b392cfb1e5aa84_featured_v2.jpg","https://b.zmtcdn.com/data/o2_assets/9b1ff9e19b7fadea6c6a57e081a1f5ac1687776279.png"
